"","country","years.new","phase","Region.Name","Sub.region.Name","Intermediate.Region.Name","ISO.alpha3.Code","total.cases","valid.cases","urban.wife","urban.both","urban.husband","urban.other","urban.missing","rural.wife","rural.both","rural.husband","rural.other","rural.missing"
"71","Lesotho","2004",4,"Africa","Sub-Saharan Africa","Southern Africa","LSO",7095,1319,55.17064,295.883684,13.229681,1.275948,NA,151.774156,782.233055,53.779329,4.791706,NA
"72","Liberia","2013",6,"Africa","Sub-Saharan Africa","Western Africa","LBR",9239,1132,279.808636,330.681635,45.112998,11.188441,5.283501,141.691234,213.436298,57.403653,3.021762,2.1412
"73","Liberia","2007",5,"Africa","Sub-Saharan Africa","Western Africa","LBR",7092,532,55.44635,95.25284,48.93601,0.79334,89.2492,37.21272,90.19279,64.03064,2.85791,35.75661
"74","Madagascar","2008",5,"Africa","Sub-Saharan Africa","Eastern Africa","MDG",17375,4667,145.799796,739.527171,120.526386,1.829775,23.004044,502.578032,2901.373986,300.636786,7.265139,64.326305
"75","Madagascar","2003",4,"Africa","Sub-Saharan Africa","Eastern Africa","MDG",7949,1638,56.503015,330.396881,69.885199,2.373734,NA,111.07002,639.444794,153.978709,7.125933,NA
"76","Malawi","2015",7,"Africa","Sub-Saharan Africa","Eastern Africa","MWI",24562,9434,273.261184,1323.318397,36.3961,15.639181,NA,949.309362,6294.153174,580.804073,79.507459,NA
"77","Malawi","2010",6,"Africa","Sub-Saharan Africa","Eastern Africa","MWI",23020,7179,178.997542,1153.19979,78.708294,18.605464,13.477895,690.700082,4260.430732,606.907411,38.849892,120.103981
"78","Malawi","2000-2004",4,"Africa","Sub-Saharan Africa","Eastern Africa","MWI",24918,5404,138.652785,856.296849,50.311213,5.977928,NA,485.192417,3609.503278,373.089112,36.549482,NA
"79","Malawi","2000-2004",4,"Africa","Sub-Saharan Africa","Eastern Africa","MWI",24918,5404,138.652785,856.296849,50.311213,5.977928,NA,485.192417,3609.503278,373.089112,36.549482,NA
"80","Maldives","2009",5,"Asia","Southern Asia","","MDV",7131,2302,45.088343,601.224223,23.709745,27.506093,NA,101.054206,1281.406737,112.492849,12.850836,NA
"81","Mali","2012",6,"Africa","Sub-Saharan Africa","Western Africa","MLI",10424,957,196.031374,140.7379,78.906897,0.619423,NA,206.920135,195.298917,93.867501,0,NA
"82","Mali","2006",5,"Africa","Sub-Saharan Africa","Western Africa","MLI",14583,1045,337.361499,136.103122,88.398922,4.815288,NA,226.396747,105.194775,74.402353,10.776502,NA
"83","Mali","2001",4,"Africa","Sub-Saharan Africa","Western Africa","MLI",12849,778,200.323784,132.790249,106.852567,13.375724,NA,152.863984,75.141787,63.986371,65.667066,NA
"84","Republic of Moldova","2005",5,"Europe","Eastern Europe","","MDA",7440,3314,367.24042,886.026303,63.851596,40.909036,16.077631,559.564019,1240.361287,94.030176,62.468106,15.409176
"85","Morocco","2003",4,"Africa","Northern Africa","","MAR",16798,5543,637.928508,2552.566782,75.205062,13.516172,NA,450.171207,1703.241311,81.829091,7.651558,NA
"86","Mozambique","2011",6,"Africa","Sub-Saharan Africa","Eastern Africa","MOZ",13745,1284,197.845161,332.451863,62.958737,2.93339,NA,156.928841,231.828392,99.473637,1.282725,NA
